Code_Function	Message
"fun Yaml( constructor: BaseConstructor, representer: Representer, dumperOptions: DumperOptions, resolver: Resolver ) { if (!constructor.isExplicitPropertyUtils()) { constructor.setPropertyUtils(representer.getPropertyUtils()) } else if (!representer.isExplicitPropertyUtils()) { representer.setPropertyUtils(constructor.getPropertyUtils()) } constructor = constructor representer.setDefaultFlowStyle(dumperOptions.getDefaultFlowStyle()) representer.setDefaultScalarStyle(dumperOptions.getDefaultScalarStyle()) representer.getPropertyUtils().setAllowReadOnlyProperties(dumperOptions.isAllowReadOnlyProperties()) representer.setTimeZone(dumperOptions.getTimeZone()) representer = representer dumperOptions = dumperOptions resolver = resolver this.name = ""Yaml:"" + System.identityHashCode(this) }"	Create Yaml instance . It is safe to create a few instances and use them in different Threads .
"fun testHitEndAfterFind() { hitEndTest(true, ""#01.0"", ""r((ege)|(geg))x"", ""regexx"", false) hitEndTest(true, ""#01.1"", ""r((ege)|(geg))x"", ""regex"", false) hitEndTest(true, ""#01.2"", ""r((ege)|(geg))x"", ""rege"", true) hitEndTest(true, ""#01.2"", ""r((ege)|(geg))x"", ""xregexx"", false) hitEndTest(true, ""#02.0"", ""regex"", ""rexreger"", true) hitEndTest(true, ""#02.1"", ""regex"", ""raxregexr"", false) val floatRegex: String = getHexFloatRegex() hitEndTest(true, ""#03.0"", floatRegex, java.lang.Double.toHexString(-1.234), true) hitEndTest( true, ""#03.1"", floatRegex, ""1 ABC"" + java.lang.Double.toHexString(Double.NaN) + ""buhuhu"", false ) hitEndTest(true, ""#03.2"", floatRegex, java.lang.Double.toHexString(-0.0) + ""--"", false) hitEndTest( true, ""#03.3"", floatRegex, ""--"" + java.lang.Double.toHexString(Double.MIN_VALUE) + ""--"", fals ) hitEndTest( true, ""#04.0"", ""(\\d+) fish (\\d+) fish (\\w+) fish (\\d+)"", ""1 fish 2 fish red fish 5"", tru ) hitEndTest( true, ""#04.1"", ""(\\d+) fish (\\d+) fish (\\w+) fish (\\d+)"", ""----1 fish 2 fish red fish 5----"", fals ) }"	Regression test for HARMONY-4396
fun add(individual: Individual?) { individuals.add(individual) }	Adds a single individual .
"fun removeSession(sesId: IgniteUuid?): Boolean { val ses: GridTaskSessionImpl = sesMap.get(sesId) assert(ses == null || ses.isFullSupport()) if (ses != null && ses.release()) { sesMap.remove(sesId, ses) return true } return false }"	Removes session for a given session ID .
"@Throws(ImageLoadException::class) fun loadBitmapOptimized(uri: Uri?, context: Context?, limit: Int): Bitmap? { return loadBitmapOptimized(object : UriSource(uri, context) {}, limit) }"	Loading bitmap with optimized loaded size less than specific pixels count
"protected fun BasePeriod(duration: Long) { super() iType = PeriodType.standard() val values: IntArray = ISOChronology.getInstanceUTC().get(DUMMY_PERIOD, duration) iValues = IntArray(8) System.arraycopy(values, 0, iValues, 4, 4) }"	"Creates a period from the given millisecond duration with the standard period type and ISO rules , ensuring that the calculation is performed with the time-only period type . < p > The calculation uses the hour , minute , second and millisecond fields ."
fun FlatBufferBuilder() { this(1024) }	"Start with a buffer of 1KiB , then grow as required ."
"fun PbrpcConnectionException(arg0: String?, arg1: Throwable?) { super(arg0, arg1) }"	Creates a new instance of PbrpcConnectionException .
fun uninstallUI(a: javax.swing.JComponent?) { for (i in 0 until uis.size()) {  (uis.elementAt(i) as javax.swing.plaf.ComponentUI).uninstallUI(a) } }	Invokes the < code > uninstallUI < /code > method on each UI handled by this object .
fun shutdown() { if (instance != null) { instance.save() } }	Saves the configuration file .
fun GE(w2: org.graalvm.compiler.word.Word): Boolean { return value.GE(w2.value) }	Greater-than or equal comparison
fun of(elementCoders: List<Coder<*>?>?): UnionCoder? { return UnionCoder(elementCoders) }	Builds a union coder with the given list of element coders . This list corresponds to a mapping of union tag to Coder . Union tags start at 0 .
"@Throws(Exception::class) fun testFileDeletion() { val testDir: File = createTestDir(""testFileDeletion"") val prefix1 = ""testFileDeletion1"" val files1: Array<File> = createFiles(testDir, prefix1, 5) val prefix2 = ""testFileDeletion2"" val files2: Array<File> = createFiles(testDir, prefix2, 5) FileCommands.deleteFiles(files1, true) assertNotExists(files1) FileCommands.deleteFiles(files2, false) Thread.sleep(1000) assertNotExists(files2) }"	Verify ability to delete a list of files .
fun isOnClasspath(classpath: String?): Boolean { return classpath.equals(classpath) }	Evaluates if the Dependency is targeted for a classpath type .
"protected fun source(ceylon: String) { val providerPreSrc = ""provider/"" + ceylon + ""_pre.ceylon"" val providerPostSrc = ""provider/"" + ceylon + ""_post.ceylon"" val clientSrc = ""client/"" + ceylon + ""_client.ceylon"" compile(providerPreSrc, providerModuleSrc, providerPackageSrc) compile(clientSrc, clientModuleSrc) compile(providerPostSrc, providerModuleSrc, providerPackageSrc) compile(clientSrc, clientModuleSrc) }"	Checks that we can still compile a client after a change
fun PerformanceMonitor() { initComponents() if (Display.getInstance().getCurrent() != null) { refreshFrameActionPerformed(null) } resultData.setModel(Model()) performanceLog.setLineWrap(true) resultData.setRowSorter(javax.swing.table.TableRowSorter<Model>(resultData.getModel() as Model)) }	Creates new form PerformanceMonitor
"""@DSGenerator( tool_name = ""Doppelganger"", tool_version = ""2.0"", generated_on = ""2014-09-03 15:01:15.190 -0400"", hash_original_method = ""F262A3A18BABECF7EC492736953EAF6E"",hash_generated_method = ""94A4545C167C029CC38AACEACF2087E9"") private fun unparkSuccessor(node: Node) {val ws: Int = node.waitStatus if (ws < 0) compareAndSetWaitStatus(node, ws, 0) var s: Node? = node.next if (s == null || s.waitStatus > 0) { s = null var t: Node = tail while (t != null && t !== node) { if (t.waitStatus <= 0) s = t t = t.prev } } if (s != null) LockSupport.unpark(s.thread) }"	"Wakes up node 's successor , if one exists ."
"@DSComment(""From safe class list"") @DSSafe(DSCat.SAFE_LIST) @DSGenerator( tool_name = ""Doppelganger"", tool_version = ""2.0"", generated_on = ""2013-12-30 13:02:44.364 -0500"", hash_original_method = ""EA3734ADDEB20313C9CAB09B48812C54"", hash_generated_method = ""4858AFE909DDE63867ACB561D5449C13"" ) fun assertFalse(message: String?, condition: Boolean) { assertTrue(message, !condition) }"	Asserts that a condition is false . If it is n't it throws an AssertionFailedError with the given message .
"protected fun initData() { val intent = Intent(this, PushMessageService::class.java) this.startService(intent) this.bindService(intent, this.connection, Context.BIND_AUTO_CREATE) }"	Initialize the Activity data
@Throws(ParseException::class) fun parseDateDay(dateString: String?): Date? { return getSimplDateFormat(DF_DEF).parse(dateString) }	Returns date parsed from string in format : yyyy.MM.dd .
"private fun doesStoragePortExistsInVArray( umfsStoragePort: StoragePort, virtualArray: VirtualArray ): Boolean { val virtualArrayPorts: List<URI> = returnAllPortsInVArray(virtualArray.getId()) return if (virtualArrayPorts.contains(umfsStoragePort.getId())) { true } else false }"	Checks if the given storage port is part of VArray
"@Throws(ServiceException::class) fun SpringVaadinServletService( servlet: VaadinServlet?, deploymentConfiguration: DeploymentConfiguration?, serviceUrl: String ) { super(servlet, deploymentConfiguration) serviceUrl = serviceUrl }"	Create a servlet service instance that allows the use of a custom service URL .
"@Throws(InternalTranslationException::class) private fun translateChildrenOfNode( environment: ITranslationEnvironment, expression: IOperandTreeNode, size: org.graalvm.compiler.asm.amd64.AMD64Assembler.OperandSize, loadOperand: Boolean, baseOffset: Long ): List<TranslationResult>? { var baseOffset: Long? = baseOffset val partialResults: MutableList<TranslationResult> = ArrayList() val children: List<IOperandTreeNode?> = expression.getChildren() Collections.sort(children, comparator) for (child in children) { val nextResult: TranslationResult = loadOperand( environment, baseOffset, child, if (isSegmentExpression(expression.getValue())) expression else null, size, loadOperand ) partialResults.add(nextResult) baseOffset += nextResult.getInstructions().size() } return partialResults }"	Iterates over the children of a node in the operand tree and generates translations for them .
"fun removeShutdownLatch(latch: CountDownLatch?) { removeShutdownLatch(latch, false) }"	Releases the latch and removes it from the latches being handled by this handler .
fun Version() { this(CommonReflection.getVersionTag()) }	Constructs a new Version from the current server version running
"fun startActivity(context: Context, chatId: String?) { val intent = Intent(context, SendGroupFile::class.java) intent.putExtra(EXTRA_CHAT_ID, chatId) context.startActivity(intent) }"	Start SendGroupFile activity
fun excludedDataCenters(excludedDataCenters: String?): Index? { excludedDataCenters = excludedDataCenters return this }	Sets the list of excluded data centers .
@Throws(IOException::class) fun read(): Int { val result: Int = src.read() if (result != -1) { ++pointer } return result }	Forwards the request to the real < code > InputStream < /code > .
"fun compareAndSwapInt(obj: Any?, off: Long, exp: Int, upd: Int): Boolean { return UNSAFE.compareAndSwapInt(obj, off, exp, upd) }"	Integer CAS .
"fun dec2Bin(value: Int): String? { val result = """" return dec2Bin(value, result) }"	Methods converts a decimal number into a binary number as a string
"fun apply(recyclerView: RecyclerView, items: Iterable<Item>?) { if (items != null) { val cache: HashMap<Int, Stack<RecyclerView.ViewHolder>> = HashMap() for (d in items) { if (!cache.containsKey(d.getType())) { cache[d.getType()] = Stack<RecyclerView.ViewHolder>() } if (mCacheSize === -1 || cache[d.getType()].size() <= mCacheSize) { cache[d.getType()].push(d.getViewHolder(recyclerView)) } val recyclerViewPool = RecycledViewPool() for ((key, value): Map.Entry<Int?, Stack<RecyclerView.ViewHolder?>> in cache.entrySet()) { recyclerViewPool.setMaxRecycledViews(key!!, mCacheSize) for (holder in value) { recyclerViewPool.putRecycledView(holder) } value.clear() } cache.clear() recyclerView.setRecycledViewPool(recyclerViewPool) } } }"	init the cache on your own .
"fun incNumOverflowOnDisk(delta: Long) { this.stats.incLong(numOverflowOnDiskId, delta) }"	Increments the current number of entries whose value has been overflowed to disk by a given amount .
"fun paint(a: java.awt.Graphics?, b: javax.swing.JComponent?) { for (i in 0 until uis.size()) { (uis.elementAt(i) as javax.swing.plaf.ComponentUI).paint(a, b) } }"	Invokes the < code > paint < /code > method on each UI handled by this object .
fun updateUI() { setUI(javax.swing.UIManager.getUI(this) as javax.swing.plaf.TableHeaderUI) val renderer: javax.swing.table.TableCellRenderer = getDefaultRenderer() if (renderer is Component) { javax.swing.SwingUtilities.updateComponentTreeUI(renderer as Component) } }	Notification from the < code > UIManager < /code > that the look and feel ( L & amp ; F ) has changed . Replaces the current UI object with the latest version from the < code > UIManager < /code > .
fun create(status: IStatus): RefactoringStatus? { if (status.isOK()) return RefactoringStatus() return if (!status.isMultiStatus()) { when (status.getSeverity()) { IStatus.OK -> RefactoringStatus() IStatus.INFO -> RefactoringStatus.createWarningStatus(status.getMessage()) IStatus.WARNING -> RefactoringStatus.createErrorStatus(status.getMessage()) IStatus.ERROR -> RefactoringStatus.createFatalErrorStatus(status.getMessage()) IStatus.CANCEL -> RefactoringStatus.createFatalErrorStatus(status.getMessage()) else -> RefactoringStatus.createFatalErrorStatus(status.getMessage()) } } else { val children: Array<IStatus> = status.getChildren() val result = RefactoringStatus() for (i in children.indices) { result.merge(RefactoringStatus.create(children[i])) } Result } }	"Creates a new < code > RefactoringStatus < /code > from the given < code > IStatus < /code > . An OK status is mapped to an OK refactoring status , an information status is mapped to a warning refactoring status , a warning status is mapped to an error refactoring status and an error or cancel status is mapped to a fatal refactoring status . An unknown status is converted into a fatal error status as well . If the status is a < code > MultiStatus < /code > then the first level of children of the status will be added as refactoring status entries to the created refactoring status ."
fun debug(msg: String?) { debugLogger.debug(msg) }	Log a Setup and/or administrative log message for log4jdbc .
fun size(): Int { return codon.length }	Returns the length of the integer codon representation of this grammar .
"@Throws(UnsupportedEncodingException::class, DecodingException::class)fun decode(): jdk.internal.org.jline.utils.DiffHelper.Diff? { val header: Int = r.read(3) if (DiffAction.parse(header) !== DiffAction.DECODER_DATA) { throw DecodingException(""Invalid codecData code: $header"") } val blockSize_C = 3 val blockSize_S: Int = r.read(5) val blockSize_E: Int = r.read(5) val blockSize_B: Int = r.read(5) val blockSize_L: Int = r.read(5) r.read(1) if (blockSize_S < 0 || blockSize_S > 31) { throw DecodingException(""blockSize_S out of range: $blockSize_S"") } if (blockSize_E < 0 || blockSize_E > 31) { throw DecodingException(""blockSize_E out of range: $blockSize_E"") } if (blockSize_B < 0 || blockSize_B > 31) { throw DecodingException(""blockSize_B out of range: $blockSize_B"") } if (blockSize_L < 0 || blockSize_L > 31) { throw DecodingException(""blockSize_L out of range: $blockSize_L"") } return decode(blockSize_C, blockSize_S, blockSize_E, blockSize_B, blockSize_L) }"	Decodes the information and returns the Diff .
fun FontSizeLocator() {}	Creates a new instance .
"fun <E : Comparable<E>?> createAutoSortedCollection(values: Collection<E>?): AutoSortedCollection<E>? { return createAutoSortedCollection(null, values) }"	Construct new auto sorted collection using natural order .
override fun toString(): String? { return super.toString() }	Returns the super class implementation of toString ( ) .
fun useLayoutEditor(destination: SignalMast?): Boolean { return if (!destList.containsKey(destination)) { false } else destList.get(destination).useLayoutEditor() }	"Query if we are using the layout editor panels to build the signal mast logic , blocks , turnouts ."
"private fun unescapePathComponent(name: String): String? { return name.replace(""\\\\(.)"".toRegex(), ""$1"") }"	Convert a path component that contains backslash escape sequences to a literal string . This is necessary when you want to explicitly refer to a path that contains globber metacharacters .
fun AbstractExampleTable(attributes: List<Attribute?>?) { addAttributes(attributes) }	Creates a new ExampleTable .
"fun zoomOut() { val save: Matrix = mViewPortHandler.zoomOut(getWidth() / 2f, -(getHeight() / 2f)) mViewPortHandler.refresh(save, this, true) }"	"Zooms out by 0.7f , from the charts center . center ."
@Throws(IOException::class) fun createBackgroundMedia(uri: String?): Media? { return impl.createBackgroundMedia(uri) }	Creates an audio media that can be played in the background .
private fun hasNextTlsMode(): Boolean { return nextTlsMode !== TLS_MODE_NULL }	Returns true if there 's another TLS mode to try .
protected fun copyToOpsw() { opsw.get(1) = fullmode.isSelected() opsw.get(2) = twoaspects.isSelected() opsw.get(11) = semaphore.isSelected() opsw.get(12) = pulsed.isSelected() opsw.get(13) = disableDS.isSelected() opsw.get(14) = fromloconet.isSelected() opsw.get(15) = disablelocal.isSelected() opsw.get(17) = sigaddress.isSelected() opsw.get(18) = bcastaddress.isSelected() opsw.get(19) = semaddress.isSelected() opsw.get(20) = setdefault.isSelected() opsw.get(21) = exercise.isSelected() var value: Int = section1to4mode.getSelectedIndex() opsw.get(5) = value and 0x01 != 0 opsw.get(4) = value and 0x02 != 0 opsw.get(3) = value and 0x04 != 0 value = section5to8mode.getSelectedIndex() opsw.get(8) = value and 0x01 != 0 opsw.get(7) = value and 0x02 != 0 opsw.get(6) = value and 0x04 != 0 value = fourthAspect.getSelectedIndex() opsw.get(10) = value and 0x01 != 0 opsw.get(9) = value and 0x02 != 0 }	Copy from the GUI to the opsw array . < p > Used before write operations start
"override fun onRequestPermissionsResult( requestCode: Int, permissions: Array<String?>, grantResults: IntArray ) { if (requestCode == ALLOW_PERMISSIONS && grantResults.size > 0) { val permissionsNotAllowed: MutableList<String?> = ArrayList() for (i in permissions.indices) { if (grantResults[i] == PackageManager.PERMISSION_DENIED) { permissionsNotAllowed.add(permissions[i]) } } if (permissionsNotAllowed.isEmpty()) { initEvent() } else { permissionNotEnabled() } } else { permissionNotEnabled() } }"	This method is a callback . Check the user 's answer after requesting permission .
"fun rowGet(key: String?): String? { val resolvedKey: String = resolveRowKey(key) val cachedValue: String = rowMapCache.get(resolvedKey) if (cachedValue != null) { return cachedValue } var value: String = rowMap.get(resolvedKey) if (value == null && jdk.javadoc.internal.doclets.toolkit.util.DocPath.parent != null) { value = jdk.javadoc.internal.doclets.toolkit.util.DocPath.parent.rowGet(resolvedKey) } if (value == null) { return null } val expandedString: String = expand(value, false) rowMapCache.put(resolvedKey, expandedString) return expandedString }"	"Looks up and returns the RowSpec associated with the given key . First looks for an association in this LayoutMap . If there 's no association , the lookup continues with the parent map - if any ."
"fun postEvaluationStatistics(state: EvolutionState) { super.postEvaluationStatistics(state) state.output.println( """"” Generation: ${state.generation) """""".trimIndent(), Output.V_NO_GENERAL, statisticslog ) for (x in 0 until state.population.subpops.length) for (y in 1 until state.population.subpops.get( x ).individuals.length) state.population.subpops.get(x).individuals.get(y).printIndividualForHumans(state, statisticslog, Output.V_NO_GENERAL) }"	Logs the best individual of the generation .
"@Throws(Exception::class) private fun checkUserExists(entidad: String) { val count: Int val table = UsersTable() val dbConn = DbConnection() try { dbConn.open(DBSessionManager.getSession()) count = if (_id === ISicresAdminDefsKeys.NULL_ID) DbSelectFns.selectCount( dbConn, table.getBaseTableName(), table.getCountNameQual(_name) ) else DbSelectFns.selectCount( dbConn, table.getBaseTableName(), table.getCountNameIdQual(_id, _name) ) if (count > 0) ISicresAdminBasicException.throwException(ISicresAdminUserKeys.EC_USER_EXISTS_NAME) } catch (e: Exception) { _logger.error(e) throw e } finally { dbConn.close() } }"	Comprueba que el usuario tiene distinto nombre a los que ya existen .
"@Transactional fun createRoleWithPermissions(role: Role, permissionIds: Set<Long?>?): Role? { val current: Role = findRoleByRoleName(role.getRoleName()) Preconditions.checkState(current == null, ""Role %s already exists!"", role.getRoleName()) val createdRole: Role = roleRepository.save(role) if (!CollectionUtils.isEmpty(permissionIds)) { val rolePermissions: Iterable<RolePermission> = FluentIterable.from(permissionIds).transform(null) rolePermissionRepository.save(rolePermissions) } return createdRole }"	"Create role with permissions , note that role name should be unique"
"protected fun generateNewCursorBox() { if (old_m_x2 !== -1 || old_m_y2 !== -1 || Math.abs(commonValues.m_x2 - old_m_x2) > 5 || Math.abs( commonValues.m_y2 - old_m_y2 ) > 5 ) { var top_x: Int = commonValues.m_x1 if (commonValues.m_x1 > commonValues.m_x2) { top_x = commonValues.m_x2 } var top_y: Int = commonValues.m_y1 if (commonValues.m_y1 > commonValues.m_y2) { top_y = commonValues.m_y2 } val w: Int = Math.abs(commonValues.m_x2 - commonValues.m_x1) val h: Int = Math.abs(commonValues.m_y2 - commonValues.m_y1) val currentRectangle = intArrayOf(top_x, top_y, w, h) decode_pdf.updateCursorBoxOnScreen( currentRectangle, DecoderOptions.highlightColor.getRGB() )if (!currentCommands.extractingAsImage) {val r = intArrayOf(commonValues.m_x1,commonValues.m_y1, commonValues.m_x2 - commonValues.m_x1, commonValues.m_y2 - commonValues.m_y1)decode_pdf.getTextLines().addHighlights(arrayOf(r), false, commonValues.getCurrentPage() } old_m_x2 = commonValues.m_x2 old_m_y2 = commonValues.m_y2 } decode_pdf.repaintPane(commonValues.getCurrentPage()) }"	"generate new cursorBox and highlight extractable text , if hardware acceleration off and extraction on < br > and update current cursor box displayed on screen"
fun OMGraphicList(initialCapacity: Int) { graphics = Collections.synchronizedList(ArrayList<OMGraphic>(initialCapacity)) }	Construct an OMGraphicList with an initial capacity .
"private fun saveToSettings() { val dataToSave: MutableList<String> = LinkedList() for (item in data) { dataToSave.add( item.getId().toString() + "","" + HtmlColors.getColorString(item.getColor()) ) } settings.putList(""usercolors"", dataToSave) }"	Copy the current data to the settings .
fun isArrayForName(value: String?): Boolean { return ARRAY_FOR_NAME_PATTERN.matcher(value).matches() }	Returns true if the given string looks like a Java array name .
fun length(): Double { return Math.sqrt(this.x * this.x + this.y * this.y) }	Calculates the length of the vector .
override fun toString(): String? { return schema }	Returns this ' media-type ( a MIME content-type category ) ( previously returned a description key )
fun restoreStarting(numPackages: Int) {}	The restore operation has begun .
"@Throws(CoreException::class) private fun resourceIsGwtXmlAndInGwt(resource: IResource): Boolean { return GWTNature.isGWTProject(resource.getProject()) && resource.getName() .endsWith("".gwt.xml"") }"	"If the resource is a .gwt.xml file and we 're in a gwt-enabled project , return true ."
"fun GlowCreature(location: Location?, type: EntityType, maxHealth: Double) { super(location, maxHealth) type = type }"	Creates a new monster .
fun CacheLayer() {}	Construct a default CacheLayer .
"@Throws(JSONException::class) protected fun buildAndroidAddress(jResult: JSONObject): Address? { val gAddress = Address(mLocale) gAddress.setLatitude(jResult.getDouble(""lat"")) gAddress.setLongitude(jResult.getDouble(""lng"")) var addressIndex = 0 if (jResult.has(""streetName"")) { gAddress.setAddressLine(addressIndex++, jResult.getString(""streetName"")) gAddress.setThoroughfare(jResult.getString(""streetName"")) } if (jResult.has(""zipCode"")) { gAddress.setAddressLine(addressIndex++, jResult.getString(""zipCode"")) gAddress.setPostalCode(jResult.getString(""zipCode"")) } if (jResult.has(""city"")) { gAddress.setAddressLine(addressIndex++, jResult.getString(""city"")) gAddress.setLocality(jResult.getString(""city"")) } if (jResult.has(""state"")) { gAddress.setAdminArea(jResult.getString(""state"")) } if (jResult.has(""country"")) { gAddress.setAddressLine(addressIndex++, jResult.getString(""country"")) gAddress.setCountryName(jResult.getString(""country"")) } if (jResult.has(""countrycode"")) gAddress.setCountryCode(jResult.getString(""countrycode"")) return gAddress }"	Build an Android Address object from the Gisgraphy address in JSON format .
"@Throws(SQLException::class) fun JDBCCategoryDataset(connection: Connection?, query: String?) { this(connection) executeQuery(query) }"	"Creates a new dataset with the given database connection , and executes the supplied query to populate the dataset ."
